name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
Xperia Arc S,Sony,False,False,False,False,"2011, August. Released 2011, September",Discontinued,117 g (4.13 oz),125,63,8.7 mm (4.92,Mini-SIM,"LED-backlit LCD,","4.2 inches, 48.6 cm2(~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~233 ppi density)",61.7%,"Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Removable Li-Po 1500 mAh battery,About 210 EUR,Qualcomm MSM8255T Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~233 ppi density)",233 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255T Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
Xperia neo V,Sony,False,False,False,False,"2011, August. Released 2011, October",Discontinued,126 g (4.44 oz),116,57,13 mm (4.57,Mini-SIM,"LED-backlit LCD,","3.7 inches, 37.7 cm2(~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)",57.1%,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Po 1500 mAh battery,About 150 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~265 ppi density)",265 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","White, Blue Gradient, Silver","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
Live with Walkman,Sony,False,False,False,False,"2011, August. Released 2011, October",Discontinued,115 g (4.06 oz),106,56.5,14.2 mm (4.17,Mini-SIM,TFT,"3.2 inches, 30.5 cm2(~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",50.9%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1200 mAh battery,About 120 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",180 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,False,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,320MB 512MB RAM,320MB 512MB RAM
Xperia ray,Sony,False,False,False,False,"2011, June. Released 2011, August",Discontinued,100 g (3.53 oz),111,53,9.4 mm (4.37,Mini-SIM,"LED-backlit LCD,","3.3 inches, 30.0 cm2(~51.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~297 ppi density)",51.0%,"Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)",Removable Li-Ion 1500 mAh battery,About 170 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~297 ppi density)",297 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, Gold, White, Pink","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (300MB user available), 512MB RAM","1GB (300MB user available), 512MB RAM"
Xperia active,Sony,False,False,False,False,"2011, June. Released 2011, October",Discontinued,110.8 g (3.88 oz),92,55,16.5 mm (3.62,Mini-SIM,"LED-backlit LCD,","3.0 inches, 26.8 cm2(~53.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",53.0%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1200 mAh battery,About 170 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Orange/Black, White/Black","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
txt,Sony,False,False,False,False,"2011, June. Released 2011, October",Discontinued,95 g (3.35 oz),106,60,14.5 mm (4.17,,"TFT,  256K colors","2.55 inches, 20.1 cm2(~31.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~157 ppi density)",31.7%,,Removable Li-Ion 1000 mAh battery,About 60 EUR,,"320 x 240 pixels, 4:3 ratio (~157 ppi density)",157 ppi density),Wi-Fi 802.11 b/g,"Black, Blue, White, Pink",,"2.1, A2DP, EDR",,True,True,,GSM,,,"120MB (100MB user available), 64MB RAM","120MB (100MB user available), 64MB RAM"
Mix Walkman,Sony,False,False,False,False,"2011, June. Released 2011, August",Discontinued,88 g (3.10 oz),95.8,52.8,14.3 mm (3.77,Mini-SIM,"TFT, 256K colors","3.0 inches, 25.6 cm2(~50.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",50.6%,,Removable Li-Ion 1000 mAh battery,About 70 EUR,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",155 ppi density),Wi-Fi 802.11 b/g,"Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band","Accelerometer, proximity","2.1, A2DP",,True,True,,GSM,,,,
txt pro,Sony,False,False,False,False,"2011, June. Released 2011, July",Discontinued,100 g (3.53 oz),93,52,18 mm (3.66,,"TFT, 256K colors","3.0 inches, 25.6 cm2(~53.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",53.0%,,Removable Li-Ion 1000 mAh battery,About 80 EUR,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",155 ppi density),Wi-Fi 802.11 b/g,"Black, White, Pink","Accelerometer, proximity","2.1, A2DP",,True,True,,GSM,,,100MB 64MB RAM,100MB 64MB RAM
Xperia mini,Sony,False,False,False,False,"2011, May. Released 2011, August",Discontinued,99 g (3.49 oz),88,52,16 mm (3.46,Mini-SIM,"LED-backlit LCD,","3.0 inches, 26.8 cm2(~58.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",58.6%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1200 mAh battery,About 120 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Blue, Dark pink","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"512MB RAM, 320MB","512MB RAM, 320MB"
Xperia mini pro,Sony,False,False,False,False,"2011, May. Released 2011, August",Discontinued,136 g (4.80 oz),92,53,18 mm (3.62,,"LED-backlit LCD,","3.0 inches, 26.8 cm2(~55.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",55.0%,"Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Removable Li-Ion 1200 mAh battery,About 140 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Pink, Turquoise","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"512MB RAM, 400MB","512MB RAM, 400MB"
